ID,URL,店舗名,カテゴリ,地域,お一人様予算,住所,電話番号,営業時間,クレジットカード,定休日,URL (Google map),lat,lng,Blog 1 (title),Blog 1 (URL),Blog 2 (title),Blog 2 (URL),Blog 3 (title),Blog 3 (URL),Blog 4 (title),Blog 4 (URL),ウェブサイト,,
1,http://www.bangmeshi.com/shop/private-dining-soi31/,ちょっと静かなしゃかりき432゛,ダイニング,Phrom Phong,普通,"2F Soi 31 (Soi Sawadee), Sukhumvit Rd.",02-126-7943,11:30-3:00,VISA/MASTER/JCB,なし,https://goo.gl/maps/JB8aM51ACSU2,13.7375389,100.5675678,"【和】　オープンしたばかりの個室居酒屋！　ちょっと静かなSHAKARIKI432""‐Slightly Quiet-　at　Sukhumivit Soi 31 | サーヤのバンコクだらだら日記",http://sayabangkok.doorblog.jp/archives/52234853.html,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
2,http://www.bangmeshi.com/shop/nikutei-arata/,肉亭 あらた,和食,Phrom Phong,普通,"99/9 Citi Resort(UFM Fuji 2)B1 floor, Soi 39, Sukhumvit Rd.",02-204-2474,17:30-1:00,-,なし,https://goo.gl/maps/tvysLHA3B4M2,13.7426311,100.5696241,,,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
3,http://www.bangmeshi.com/shop/napori-no-kama/,ナポリの窯,イタリアン,Asok,手軽,"399 Interchange Bldg., Unit S2-S3, Soi 23, Sukhumvit Rd.",095-770-0250,10:00-20:00,,土日,https://goo.gl/maps/okmrxJdMxCK2,13.7366949,100.5602277,アソークにある【ナポリの窯】はリーズナブルな値段でピザが食べられます！宅配もあります！ | バンコクに一生住む？,https://bkk-issyou.net/napori-no-kama,アソーク・インターチェンジタワーの「ナポリの窯」で99バーツナポリタン！ | BANGKOK GIRLS NOTE,https://www.bangkok-pukuko.com/entry/napolinokama-bangkok,【ピ】　日本からやってきたピザ屋！　ナポリの窯　at　Sukhumvit Soi23 | サーヤのバンコクだらだら日記,http://sayabangkok.doorblog.jp/archives/52238337.html,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
4,http://www.bangmeshi.com/shop/edo-kitchen/,江戸キッチン,中華料理,Thong Lo,普通,"120/6 Soi 49, Sukhumvit Rd.",02-057-8028,18:00-24:00(L.O.23:00),申請中,日,https://goo.gl/maps/MMcxAS45cbk,13.7373152,100.5775783,トンローにある【江戸キッチン】へ行ってみた！ | バンコクに一生住む？,https://bkk-issyou.net/edokitchen,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
5,http://www.bangmeshi.com/shop/nikkuu-grill/,ニックウ・グリル,ダイニング,Thong Lo,普通,"47, Sukhumvit 55 Rd.",02-714-2151,"月-土 17:30- 22:30 (L.O.22:00), Bar Time 22:30-24:30 (L.O.24:00), 日 17:30-23:30 (L.O.23:00)",VISA/MASTER/JCB,不定休,https://goo.gl/maps/X3NR8NXGuJk,13.725498,100.5771689,,,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
6,http://www.bangmeshi.com/shop/ginryu/,焼肉研究所 銀竜,焼肉,Phrom Phong,普通,29 Soi Sukhumvit 39,02-227-0784,"11:30-14:00, 17:00-23:00",,なし,https://goo.gl/maps/v8VPkVPu6NC2,13.7322167,100.5693385,,,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
7,http://www.bangmeshi.com/shop/san-kyu-taka-town/,三休,焼肉,Phrom Phong,普通,"Taka Town, 555/7 Soi 39, Petchaburi Rd.",098-996-5218,11:00-23:00,VISA/MASTER,なし,https://goo.gl/maps/tKRrXtU3srC2,13.7322166,100.5627724,叙々苑の味で有名な「炭火焼肉 三休」の2号店へ@スクンビットsoi39（soi Phromsri1） | BANGKOK GIRLS NOTE,https://www.bangkok-pukuko.com/entry/sankyupremiumyakiniku,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
8,http://www.bangmeshi.com/shop/som-tam-chardonnay-restaurant/,Som Tam & Chardonnay Restaurant,タイ料理,Thong Lo,普通,"11 Floor, Akyra Hotel Thonglor Bangkok, Thonglor soi 8, Sukhumvit 55 Rd.",02-090-9052,11:00-23:00,VISA/MASTER,なし,https://goo.gl/maps/UCSokep6pCM2,13.7309448,100.5788226,,,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
9,http://www.bangmeshi.com/shop/hanemasu/,羽枡,居酒屋,Phrom Phong,普通,Shukmvit 49/11 Racquet club 49,02-119-7249,"月-土17:30-2:00 (L.O.1:00), 日15:00-22:30 (L.O.22:00)",VISA/MASTER/AMEX/JCB,なし,https://goo.gl/maps/HJ6fysag85n,13.7367163,100.5733814,,,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
10,http://www.bangmeshi.com/shop/uomasa/,魚昌 (Nihonmura),居酒屋,Thong Lo,普通,"GL floor, Nihonmura Mall, Thong Lo Soi 13, Sukhumvit 55 Rd.",02-185-3127,"月-木11:30-14:30(L.O.14:00), 18:00-22:30(L.O.22:00), 金11:30-14:30(L.O.14:00), 18:00- 23:00(L.O.22:30), 土日祝11:30-22:30(L.O.22:00)",VISA/MASTER/JCB,なし,https://goo.gl/maps/8k94WW4Bgp82,13.7318497,100.5768911,,,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
11,http://www.bangmeshi.com/shop/ranichi/,らんいち (Nihonmura),焼肉,Thong Lo,普通,"2F, Nihonmura, 87 Soi Thong Lo 13, Sukhumvit 55 Rd.","091-429-4649（日本語）, 02-185-2781","11:30-14:30, 17:00-23:30",VISA/MASTER/JCB,なし,https://goo.gl/maps/y9X69bxWqHJ2,13.7326811,100.5708091,,,,,,,,,"<a href=""""ranichi-japanese-bbq.com"""" target=""""_blank"""" rel=""""nofollow"""">ranichi-japanese-bbq.com</a>",,
12,http://www.bangmeshi.com/shop/nikujiru-gyoza-kenkyujo/,肉汁餃子研究所,和食,Silom,普通,16/1 Surawong Rd.,"02-047-3330, 082-641-0207",17:00-3:00 (L.O.2:00),VISA/MASTER/JCB,なし,https://goo.gl/maps/mrzBZ6VEMzt,13.7304462,100.5308186,スリウォン通りにオープンした【肉汁餃子研究所】へ行ってきた！ | バンコクに一生住む？,https://bkk-issyou.net/nikujirugyouza-kenkyujo,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
13,http://www.bangmeshi.com/shop/el-faro/,Wine&Grill EL FARO Bangkok,ダイニング,Ekkamai,普通,"12/5, Soi Ekkamai 2, Sukhumvit 63 Rd.",02-714-4058,17:00-24:00,準備中,火,https://goo.gl/maps/FFcWRc97zKQ2,13.7232558,100.5837144,,,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
14,http://www.bangmeshi.com/shop/%e5%af%bf%e5%8f%b8%e5%89%b2%e7%83%b9%e3%80%80%e5%8c%97%e5%a4%a7%e8%b7%af/,寿司割烹　北大路,寿司,Phrom Phong,高め,"39 BOULVARD Bldg, Soi 39, Sukhumvit Rd.",098-882-4768,18:00-23:00(L.O.21:30),V/MS/JCB/D,月,https://goo.gl/maps/YoccLgLkhE42,13.7373343,100.569612,,,,,,,,,"<a href=""""http://www.kitaohji.net/sushi-kappou"""" target=""""_blank"""" rel=""""nofollow"""">http://www.kitaohji.net/sushi-kappou</a>",,
15,http://www.bangmeshi.com/shop/fujiyama-55/,フジヤマ55,ラーメン,Thong Lo,普通,"GF Bio House, Soi 39, Sukhumvit Rd.",02-662-6115,"月-土11:00- 24:00 (L.O.23:00) , 日11:00- 23:00 (L.O.22:00)",VISA/MASTER,なし,https://goo.gl/maps/r6gMqLfckfp,13.7371939,100.5694796,移転！？新店舗！？プロンポンの【フジヤマ55】へ久しぶりに行ってみた！ | バンコクに一生住む？,https://bkk-issyou.net/fujiyama55-2018,,,,,,,"<a href=""""www.megumigroup. com"""" target=""""_blank"""" rel=""""nofollow"""">www.megumigroup. com</a>",,
16,http://www.bangmeshi.com/shop/lecrin-55/,旬魚菜肉肴酒 L’ecrin 55,居酒屋,Thong Lo,普通,205/1 Sukhumvit 55 Rd.,093-013-5155,18:00-3:00（予定）,,不定休,https://goo.gl/maps/KatEJAxPt8s,13.7314389,100.5794092,【魚】　旬魚菜肉肴酒　L'ecrin 55 at トンローSoi9 | サーヤのバンコクだらだら日記,http://sayabangkok.doorblog.jp/archives/52223089.html,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
17,http://www.bangmeshi.com/shop/nikuyama/,Nikuyama 肉山,ダイニング,Phrom Phong,普通,"1F 777 Rain Hill, Soi 47, Sukhumvit Rd. ",064-130-8282（日本語）,"17:00-19:30, 20:00-22:30",VISA/MASTER/JCB,なし,https://goo.gl/maps/tCLrYLKAUBv,13.7280901,100.5720284,【肉】　日本で予約が取れないレストランがバンコク発上陸　肉山　at レインヒル1階 | サーヤのバンコクだらだら日記,http://sayabangkok.doorblog.jp/archives/52219907.html,,,,,,,"<a href="""""""" target=""""_blank"""" rel=""""nofollow""""></a>",,
18,http://www.bangmeshi.com/shop/eltapeo/,El Tapeo,スペイン料理,Thong Lo,普通,"Between Soi Thonglor 7-9, Sukhum vit 55 Rd.",02-052-0656,"日-木11:30-23:00, 金土11:30-1:00",Visa / Master / JCB,月,https://goo.gl/maps/w4Q2ekh1May,13.7298788,100.5790123,【バンコク・スペイン料理】トンロー通りに登場！マドリード発のスペイン料理店「El Tapeo(エル・タペオ)」 | 続・Weekender@Bangkok,https://weekenderbangkok.com/entry/2017/08/28/120504,バンコクで手軽に本格スペイン料理が楽しめる「El Tapeo（エル タペオ）」@トンローソイ7-9 | BANGKOK GIRLS NOTE,https://www.bangkok-pukuko.com/entry/eltapeo-bangkok,,,,,"<a href=""""www.eltapeobkk.com"""" target=""""_blank"""" rel=""""nofollow"""">www.eltapeobkk.com</a>",,
